=======================
READING data.txt:
=======================

Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,316,846,0,[error starting temperature measurement],
Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,316,1064,0,9.84,979.20,100.00,
Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,260,254,0,10.03,979.46,100.00,
30795,308,705,0,9.86,979.58,100.00,
61352,273,388,0,9.95,979.53,100.00,
91911,277,410,0,9.96,979.61,100.00,
122472,277,422,0,9.74,979.53,100.00,
153030,415,1601,0,9.95,979.52,100.00,
183589,424,1733,0,10.11,979.63,100.00,
214148,342,1134,0,10.30,979.66,100.00,
244706,461,2103,1,10.52,979.69,100.00,
275264,440,1831,0,10.78,979.75,100.00,
305822,521,2755,1,11.04,979.65,100.00,
336380,678,3955,2,11.30,979.67,100.00,
366939,724,4373,2,11.54,979.66,100.00,
397497,409,1708,0,11.73,979.67,100.00,
428055,651,3644,2,11.98,979.75,100.00,
458613,658,3691,2,12.19,979.68,100.00,
489171,627,3415,1,12.46,979.75,100.00,
519736,695,4141,2,12.68,979.82,100.00,
550294,624,3548,1,12.87,979.71,100.00,
580852,522,2900,1,13.09,979.69,100.00,
611410,632,3543,2,13.17,979.69,100.00,
641969,583,3345,1,13.25,979.78,100.00,
672527,543,3108,1,13.34,979.76,100.00,
703085,522,3201,1,13.41,979.74,100.00,
733643,566,3906,1,13.50,979.71,100.00,
764207,1095,8207,4,13.66,979.74,100.00,
794766,1461,12183,6,13.87,979.72,100.00,
825324,878,5960,3,14.09,979.77,100.00,
855882,703,4351,2,14.21,979.73,100.00,
886443,744,4662,2,14.41,979.84,100.00,
917004,762,4977,2,14.59,979.77,100.00,
947562,1036,7506,4,14.78,979.89,100.00,
978120,1792,15569,8,14.92,979.68,100.00,
1008678,1648,13837,7,15.17,979.77,100.00,
1039237,1739,14846,7,15.39,979.78,100.00,
1069795,1741,14732,7,15.65,979.68,100.00,
1100353,1766,15386,8,15.90,979.65,100.00,
1130911,1762,15240,8,16.18,979.78,100.00,
1161469,1742,14840,7,16.48,979.71,100.00,
1192028,1675,14307,7,16.78,979.75,100.00,
1222586,1359,10486,5,17.04,979.74,100.00,
1253144,1595,13109,7,17.29,979.75,100.00,
1283702,1588,13419,7,17.55,979.73,100.00,
1314257,1286,11003,5,17.80,979.73,100.00,
1344816,1042,8152,4,18.04,979.71,100.00,
1375374,1031,7637,4,18.29,979.67,100.00,
1405932,1149,8184,4,18.57,979.70,100.00,
1436490,922,6161,3,18.77,979.74,100.00,
1467048,884,5932,3,18.97,979.69,100.00,
1497607,1016,6695,4,19.12,979.71,100.00,
1528165,b`ddXlnh`XhXbr\drXrnr\lhXb``\``XbjjpndfXnldXhphbXdXbr\hfXrnr\llXb``\``XbjprdpbXb`ddXllplXhXbr\hbXrnh\n`Xb``\``XblbrphjXb`llXnfhbXhXbr\f`Xrjl\hbXb``\``Xblj`h`jXbbbjXnnflXhXb9.10,941.43,100.00,
16809lrXb`dnXlnrrXhXbp\rbXrf`\nbXb``\``XbnbbjdnXrrdXlpjrXfXbp\lfXrd`\d`Xb``\``Xbnhd`plXbd`hXpj`nXjXbp\fnXr`n\d`Xb``\``XbnndlhhXbbpbXpjj`XhXbp\`jXprb\fbXb``\``Xbp`fd`fXbbdnXpfn`XhXbn\njXpnh\ppXb``\``XbpffnlbXbbllXpfjdXhXbn\fdXpjp\npXb``\``XbplhfdbXbbpT     а ܸ а  ̸ Ȱ       (          Ȱ   ܰ԰ ظ      а       (      ܰ   ܰ   ܰ԰ ظ а  и ܰ       (      ԰        Ȱа Ը       ̰       (      ̰        ذ԰ Ը ܰ  ظ ܰ       (      Ȱ        ԰ Ը ذ  ȸ İ       ( 047671,1506,12724,6,14.77,758.40,100.00,
